vdw,elec,bsa,desolv,fnat,dockq,caprieval_rank,Molecule name
198.357,-0.895,1407.79,-29.407,0.209,0.086,19,7b0b_H0-L0_rigid_capri_ss.tsv
67.969,1.021,1252.87,-30.062,0.233,0.097,20,7b0b_H0-L0_rigid_capri_ss.tsv
119.288,-2.511,1420.6,-28.12,0.791,0.69,21,7b0b_H0-L0_rigid_capri_ss.tsv
106.992,-0.374,1739.47,-31.769,0.302,0.213,22,7b0b_H0-L0_rigid_capri_ss.tsv
135.309,-3.513,1501.67,-32.574,0.326,0.242,23,7b0b_H0-L0_rigid_capri_ss.tsv
84.88,-1.981,1431.44,-26.217,0.814,0.709,24,7b0b_H0-L0_rigid_capri_ss.tsv
96.615,-0.758,1705.44,-30.343,0.302,0.213,25,7b0b_H0-L0_rigid_capri_ss.tsv
86.158,0.191,1237.18,-31.288,0.581,0.536,26,7b0b_H0-L0_rigid_capri_ss.tsv
111.299,0.459,1307.25,-29.226,0.209,0.088,27,7b0b_H0-L0_rigid_capri_ss.tsv
92.238,0.627,1211.57,-30.55,0.535,0.513,28,7b0b_H0-L0_rigid_capri_ss.tsv
139.405,-1.85,1583.56,-20.267,0.209,0.088,29,7b0b_H0-L0_rigid_capri_ss.tsv
143.693,-0.158,1530.75,-27.602,0.209,0.081,30,7b0b_H0-L0_rigid_capri_ss.tsv
98.813,-2.208,1447.38,-27.799,0.837,0.706,31,7b0b_H0-L0_rigid_capri_ss.tsv
125.609,-2.914,1428.62,-26.742,0.814,0.68,32,7b0b_H0-L0_rigid_capri_ss.tsv
146.747,0.658,1207.18,-32.999,0.558,0.528,33,7b0b_H0-L0_rigid_capri_ss.tsv
111.244,-0.246,1743.95,-30.849,0.302,0.212,34,7b0b_H0-L0_rigid_capri_ss.tsv
95.218,-1.373,1589.17,-27.068,0.186,0.076,35,7b0b_H0-L0_rigid_capri_ss.tsv
82.484,-0.594,1789.8,-28.528,0.186,0.078,36,7b0b_H0-L0_rigid_capri_ss.tsv
95.97,0.203,1228.03,-31.973,0.581,0.538,37,7b0b_H0-L0_rigid_capri_ss.tsv
118.191,0.438,1533.86,-26.229,0.186,0.073,38,7b0b_H0-L0_rigid_capri_ss.tsv
135.926,-3.03,1468.12,-26.225,0.814,0.687,39,7b0b_H0-L0_rigid_capri_ss.tsv
135.339,-3.085,1477.82,-25.117,0.791,0.666,40,7b0b_H0-L0_rigid_capri_ss.tsv
76.006,0.429,1516.96,-28.615,0.186,0.082,41,7b0b_H0-L0_rigid_capri_ss.tsv
82.268,0.187,1132.19,-28.507,0.419,0.307,42,7b0b_H0-L0_rigid_capri_ss.tsv
103.404,-2.301,1421.61,-25.878,0.767,0.676,43,7b0b_H0-L0_rigid_capri_ss.tsv
126.267,-2.785,1437.54,-26.254,0.837,0.698,44,7b0b_H0-L0_rigid_capri_ss.tsv
142.484,1.071,1369.03,-30.108,0.442,0.337,45,7b0b_H0-L0_rigid_capri_ss.tsv
75.116,-0.841,1803.17,-27.794,0.186,0.078,46,7b0b_H0-L0_rigid_capri_ss.tsv
96.175,-0.274,1733.62,-32.217,0.279,0.205,47,7b0b_H0-L0_rigid_capri_ss.tsv
107.963,-2.818,1438.24,-26.879,0.767,0.656,48,7b0b_H0-L0_rigid_capri_ss.tsv
74.885,-0.489,1780.84,-28.14,0.186,0.078,49,7b0b_H0-L0_rigid_capri_ss.tsv
125.741,-0.498,1422.47,-28.526,0.209,0.088,50,7b0b_H0-L0_rigid_capri_ss.tsv
119.594,0.762,1605.59,-23.492,0.163,0.069,51,7b0b_H0-L0_rigid_capri_ss.tsv
104.733,0.855,1366.51,-28.443,0.442,0.314,52,7b0b_H0-L0_rigid_capri_ss.tsv
108.957,0.833,1514.18,-22.643,0.163,0.069,53,7b0b_H0-L0_rigid_capri_ss.tsv
118.154,-2.646,1445.64,-26.25,0.791,0.683,54,7b0b_H0-L0_rigid_capri_ss.tsv
127.352,-2.512,1442.79,-26.967,0.791,0.694,55,7b0b_H0-L0_rigid_capri_ss.tsv
100.711,-0.722,1068.17,-25.666,0.209,0.116,56,7b0b_H0-L0_rigid_capri_ss.tsv
167.403,-1.207,1275.45,-22.642,0.581,0.442,57,7b0b_H0-L0_rigid_capri_ss.tsv
91.29,-0.666,1816.08,-26.755,0.186,0.079,58,7b0b_H0-L0_rigid_capri_ss.tsv
76.462,-2.614,1104.79,-23.302,0.209,0.109,59,7b0b_H0-L0_rigid_capri_ss.tsv
111.802,-1.533,1578.63,-22.651,0.209,0.088,60,7b0b_H0-L0_rigid_capri_ss.tsv
117.067,0.319,1355.3,-28.063,0.209,0.088,61,7b0b_H0-L0_rigid_capri_ss.tsv
131.111,0.184,1361.59,-28.88,0.209,0.087,62,7b0b_H0-L0_rigid_capri_ss.tsv
143.035,-1.015,1730.58,-17.508,0.14,0.063,63,7b0b_H0-L0_rigid_capri_ss.tsv
107.17,-0.44,1723.75,-31.021,0.279,0.206,64,7b0b_H0-L0_rigid_capri_ss.tsv
139.272,-0.61,1502.19,-31.29,0.186,0.081,65,7b0b_H0-L0_rigid_capri_ss.tsv
176.679,-1.518,1794.68,-20.702,0.14,0.062,66,7b0b_H0-L0_rigid_capri_ss.tsv
163.037,-0.179,1583.38,-30.917,0.0,0.023,67,7b0b_H0-L0_rigid_capri_ss.tsv
169.605,1.171,1420.83,-30.608,0.14,0.059,68,7b0b_H0-L0_rigid_capri_ss.tsv
126.453,-0.52,1534.72,-30.76,0.186,0.081,69,7b0b_H0-L0_rigid_capri_ss.tsv
128.3,-2.414,1656.78,-26.293,0.163,0.068,70,7b0b_H0-L0_rigid_capri_ss.tsv
146.648,-2.962,1450.36,-27.254,0.837,0.702,71,7b0b_H0-L0_rigid_capri_ss.tsv
135.333,0.228,1478.65,-29.016,0.209,0.081,72,7b0b_H0-L0_rigid_capri_ss.tsv
164.874,-1.188,1403.47,-28.341,0.209,0.081,73,7b0b_H0-L0_rigid_capri_ss.tsv
103.22,-0.157,1746.12,-29.664,0.279,0.204,74,7b0b_H0-L0_rigid_capri_ss.tsv
140.741,-2.749,1421.32,-29.031,0.837,0.71,75,7b0b_H0-L0_rigid_capri_ss.tsv
139.214,1.869,1335.68,-29.048,0.209,0.084,76,7b0b_H0-L0_rigid_capri_ss.tsv
76.096,0.354,1247.48,-18.353,0.093,0.044,77,7b0b_H0-L0_rigid_capri_ss.tsv
145.909,-2.031,1800.86,-21.838,0.14,0.062,78,7b0b_H0-L0_rigid_capri_ss.tsv
67.803,-0.99,1265.84,-20.086,0.326,0.315,79,7b0b_H0-L0_rigid_capri_ss.tsv
90.818,-2.711,1697.33,-19.471,0.116,0.054,80,7b0b_H0-L0_rigid_capri_ss.tsv
98.47,-3.287,1268.65,-22.99,0.186,0.078,81,7b0b_H0-L0_rigid_capri_ss.tsv
90.897,-2.846,1023.02,-18.724,0.326,0.243,82,7b0b_H0-L0_rigid_capri_ss.tsv
169.505,-3.544,1476.36,-26.834,0.814,0.681,83,7b0b_H0-L0_rigid_capri_ss.tsv
145.654,-3.43,1601.05,-32.973,0.372,0.241,84,7b0b_H0-L0_rigid_capri_ss.tsv
97.508,-0.366,1363.04,-28.552,0.209,0.088,85,7b0b_H0-L0_rigid_capri_ss.tsv
149.453,-0.127,1374.04,-28.877,0.209,0.087,86,7b0b_H0-L0_rigid_capri_ss.tsv
160.501,-3.129,1431.04,-27.013,0.837,0.702,87,7b0b_H0-L0_rigid_capri_ss.tsv
196.69,-3.511,1466.04,-24.975,0.884,0.724,88,7b0b_H0-L0_rigid_capri_ss.tsv
138.71,-3.552,1491.68,-32.612,0.349,0.248,89,7b0b_H0-L0_rigid_capri_ss.tsv
149.022,-0.637,1503.57,-30.513,0.186,0.081,90,7b0b_H0-L0_rigid_capri_ss.tsv
221.65,-0.418,1408.17,-29.45,0.209,0.087,91,7b0b_H0-L0_rigid_capri_ss.tsv
148.129,-3.552,1497.76,-30.575,0.326,0.243,92,7b0b_H0-L0_rigid_capri_ss.tsv
95.134,-2.73,1759.96,-19.609,0.116,0.054,93,7b0b_H0-L0_rigid_capri_ss.tsv
176.648,-1.233,1441.71,-23.994,0.14,0.063,94,7b0b_H0-L0_rigid_capri_ss.tsv
93.606,1.994,1603.87,-21.851,0.14,0.061,95,7b0b_H0-L0_rigid_capri_ss.tsv
138.668,-0.447,1515.81,-30.236,0.186,0.081,96,7b0b_H0-L0_rigid_capri_ss.tsv
159.059,-1.19,1539.8,-18.76,0.14,0.062,97,7b0b_H0-L0_rigid_capri_ss.tsv
133.468,-1.15,1465.89,-29.685,0.209,0.086,98,7b0b_H0-L0_rigid_capri_ss.tsv
123.064,0.638,1341.7,-27.598,0.209,0.088,99,7b0b_H0-L0_rigid_capri_ss.tsv
174.443,-0.183,1631.14,-27.061,0.0,0.023,100,7b0b_H0-L0_rigid_capri_ss.tsv
124.27,0.257,1219.94,-32.047,0.581,0.541,101,7b0b_H0-L0_rigid_capri_ss.tsv
110.15,-1.292,1286.27,-17.879,0.326,0.325,102,7b0b_H0-L0_rigid_capri_ss.tsv
163.699,1.651,1365.52,-26.358,0.209,0.084,103,7b0b_H0-L0_rigid_capri_ss.tsv
146.256,-1.177,1271.27,-21.303,0.279,0.183,104,7b0b_H0-L0_rigid_capri_ss.tsv
134.355,0.864,1374.7,-24.925,0.372,0.193,105,7b0b_H0-L0_rigid_capri_ss.tsv
177.657,-1.074,1452.2,-29.662,0.209,0.086,106,7b0b_H0-L0_rigid_capri_ss.tsv
182.684,-0.964,1369.21,-22.457,0.581,0.46,107,7b0b_H0-L0_rigid_capri_ss.tsv
126.85,-0.402,1278.81,-16.664,0.14,0.068,108,7b0b_H0-L0_rigid_capri_ss.tsv
168.729,-1.006,1274.14,-21.816,0.558,0.458,109,7b0b_H0-L0_rigid_capri_ss.tsv
148.924,-0.243,1566.03,-16.488,0.186,0.185,110,7b0b_H0-L0_rigid_capri_ss.tsv
182.509,-0.23,1171.91,-19.046,0.465,0.384,111,7b0b_H0-L0_rigid_capri_ss.tsv
78.547,0.294,1515.46,-17.037,0.093,0.074,112,7b0b_H0-L0_rigid_capri_ss.tsv
181.981,-0.396,1483.41,-26.215,0.209,0.081,113,7b0b_H0-L0_rigid_capri_ss.tsv
187.491,-3.611,1433.92,-26.59,0.837,0.699,114,7b0b_H0-L0_rigid_capri_ss.tsv
96.656,-0.335,1267.95,-21.158,0.326,0.319,115,7b0b_H0-L0_rigid_capri_ss.tsv
173.323,-1.224,1577.28,-19.888,0.14,0.063,116,7b0b_H0-L0_rigid_capri_ss.tsv
151.771,-2.254,1595.59,-20.379,0.209,0.088,117,7b0b_H0-L0_rigid_capri_ss.tsv
136.558,-0.719,1389.41,-28.869,0.209,0.088,118,7b0b_H0-L0_rigid_capri_ss.tsv
102.502,-0.382,1247.4,-21.66,0.512,0.414,119,7b0b_H0-L0_rigid_capri_ss.tsv
98.872,-2.932,1720.97,-18.453,0.116,0.054,120,7b0b_H0-L0_rigid_capri_ss.tsv
102.508,-2.244,1101.11,-21.776,0.233,0.117,121,7b0b_H0-L0_rigid_capri_ss.tsv
131.173,0.057,1400.98,-27.239,0.209,0.087,122,7b0b_H0-L0_rigid_capri_ss.tsv
103.042,-0.467,1408.03,-11.686,0.116,0.054,123,7b0b_H0-L0_rigid_capri_ss.tsv
215.548,1.088,1321.31,-30.041,0.465,0.315,124,7b0b_H0-L0_rigid_capri_ss.tsv
279.256,-0.603,1305.79,-23.079,0.047,0.028,125,7b0b_H0-L0_rigid_capri_ss.tsv
144.705,0.76,1192.04,-31.779,0.558,0.523,126,7b0b_H0-L0_rigid_capri_ss.tsv
120.891,-1.098,1227.92,-19.095,0.326,0.322,127,7b0b_H0-L0_rigid_capri_ss.tsv
176.55,-0.023,1431.33,-28.105,0.209,0.087,128,7b0b_H0-L0_rigid_capri_ss.tsv
185.264,1.392,1400.98,-30.571,0.14,0.059,129,7b0b_H0-L0_rigid_capri_ss.tsv
102.807,-2.286,1252.19,-7.369,0.14,0.062,130,7b0b_H0-L0_rigid_capri_ss.tsv
143.965,0.168,1394.79,-28.533,0.209,0.087,131,7b0b_H0-L0_rigid_capri_ss.tsv
170.316,-2.762,1661.97,-28.887,0.163,0.068,132,7b0b_H0-L0_rigid_capri_ss.tsv
150.972,0.283,1263.39,-30.775,0.581,0.54,133,7b0b_H0-L0_rigid_capri_ss.tsv
264.669,0.823,1540.88,-18.362,0.14,0.109,134,7b0b_H0-L0_rigid_capri_ss.tsv
186.126,0.727,1402.01,-30.018,0.14,0.059,135,7b0b_H0-L0_rigid_capri_ss.tsv
129.039,2.783,1603.2,-22.22,0.14,0.061,136,7b0b_H0-L0_rigid_capri_ss.tsv
189.914,-2.139,1198.71,-1.706,0.116,0.057,137,7b0b_H0-L0_rigid_capri_ss.tsv
113.416,-1.291,1370.09,-26.112,0.14,0.067,138,7b0b_H0-L0_rigid_capri_ss.tsv
133.637,-0.409,1487.23,-29.453,0.186,0.081,139,7b0b_H0-L0_rigid_capri_ss.tsv
108.937,-1.105,1273.44,-18.549,0.372,0.342,140,7b0b_H0-L0_rigid_capri_ss.tsv
162.164,1.024,1242.93,-30.29,0.535,0.505,141,7b0b_H0-L0_rigid_capri_ss.tsv
127.239,1.81,1662.44,-23.263,0.163,0.069,142,7b0b_H0-L0_rigid_capri_ss.tsv
133.588,1.648,1649.24,-20.946,0.163,0.069,143,7b0b_H0-L0_rigid_capri_ss.tsv
150.144,0.582,1366.21,-28.711,0.209,0.088,144,7b0b_H0-L0_rigid_capri_ss.tsv
216.187,-0.272,1408.09,-29.59,0.209,0.087,145,7b0b_H0-L0_rigid_capri_ss.tsv
81.252,-3.093,1105.74,-21.907,0.209,0.109,146,7b0b_H0-L0_rigid_capri_ss.tsv
107.902,0.42,1332.8,-26.028,0.209,0.088,147,7b0b_H0-L0_rigid_capri_ss.tsv
122.166,2.852,1609.7,-21.569,0.163,0.069,148,7b0b_H0-L0_rigid_capri_ss.tsv
112.36,-1.206,1265.19,-19.999,0.349,0.333,149,7b0b_H0-L0_rigid_capri_ss.tsv
182.705,-0.152,1522.91,-30.201,0.209,0.081,150,7b0b_H0-L0_rigid_capri_ss.tsv
168.656,-1.848,1371.79,-23.992,0.116,0.056,151,7b0b_H0-L0_rigid_capri_ss.tsv
117.817,-2.651,1740.4,-18.348,0.116,0.054,152,7b0b_H0-L0_rigid_capri_ss.tsv
101.119,-3.073,1111.15,-23.938,0.209,0.109,153,7b0b_H0-L0_rigid_capri_ss.tsv
139.336,-0.135,1479.33,-14.984,0.186,0.182,154,7b0b_H0-L0_rigid_capri_ss.tsv
120.419,-0.558,1182.73,-21.521,0.372,0.364,155,7b0b_H0-L0_rigid_capri_ss.tsv
116.737,-0.152,1435.83,-11.246,0.116,0.054,156,7b0b_H0-L0_rigid_capri_ss.tsv
88.837,-2.364,1275.99,-5.546,0.14,0.062,157,7b0b_H0-L0_rigid_capri_ss.tsv
293.626,-0.489,1329.11,-12.31,0.233,0.169,158,7b0b_H0-L0_rigid_capri_ss.tsv
65.722,-3.108,1131.05,-5.009,0.116,0.068,159,7b0b_H0-L0_rigid_capri_ss.tsv
88.444,-0.227,1249.09,-18.971,0.326,0.319,160,7b0b_H0-L0_rigid_capri_ss.tsv
125.013,-1.162,1259.98,-19.427,0.326,0.323,161,7b0b_H0-L0_rigid_capri_ss.tsv
388.192,-1.806,1131.91,-17.663,0.07,0.043,162,7b0b_H0-L0_rigid_capri_ss.tsv
134.78,-1.626,1251.38,-21.155,0.163,0.097,163,7b0b_H0-L0_rigid_capri_ss.tsv
115.847,-2.769,1111.44,-18.56,0.209,0.11,164,7b0b_H0-L0_rigid_capri_ss.tsv
107.698,-2.429,1219.11,-21.724,0.14,0.065,165,7b0b_H0-L0_rigid_capri_ss.tsv
268.482,1.279,1564.07,-19.771,0.14,0.109,166,7b0b_H0-L0_rigid_capri_ss.tsv
243.021,-2.74,1221.86,-2.969,0.116,0.056,167,7b0b_H0-L0_rigid_capri_ss.tsv
213.266,1.131,1234.67,-31.015,0.558,0.511,168,7b0b_H0-L0_rigid_capri_ss.tsv
110.902,-1.315,1030.13,-21.988,0.186,0.1,169,7b0b_H0-L0_rigid_capri_ss.tsv
102.982,-0.148,1510.89,-6.103,0.14,0.06,170,7b0b_H0-L0_rigid_capri_ss.tsv
134.443,-1.536,1057.82,-14.425,0.163,0.084,171,7b0b_H0-L0_rigid_capri_ss.tsv
148.048,-0.194,1162.37,-15.411,0.14,0.071,172,7b0b_H0-L0_rigid_capri_ss.tsv
148.687,-0.866,1227.12,-23.355,0.256,0.108,173,7b0b_H0-L0_rigid_capri_ss.tsv
214.367,-1.179,1294.51,-22.487,0.581,0.458,174,7b0b_H0-L0_rigid_capri_ss.tsv
133.359,-2.325,1353.34,-20.94,0.349,0.35,175,7b0b_H0-L0_rigid_capri_ss.tsv
87.491,0.874,1180.11,-9.751,0.07,0.057,176,7b0b_H0-L0_rigid_capri_ss.tsv
168.177,0.032,1143.69,-19.175,0.209,0.088,177,7b0b_H0-L0_rigid_capri_ss.tsv
292.843,1.058,1554.78,-18.349,0.14,0.108,178,7b0b_H0-L0_rigid_capri_ss.tsv
100.907,-1.236,1261.42,-9.835,0.163,0.069,179,7b0b_H0-L0_rigid_capri_ss.tsv
446.569,0.456,1689.44,-10.412,0.047,0.028,180,7b0b_H0-L0_rigid_capri_ss.tsv
137.322,-0.521,1379.72,-20.803,0.116,0.051,181,7b0b_H0-L0_rigid_capri_ss.tsv
204.351,-1.235,1158.81,-24.031,0.209,0.149,182,7b0b_H0-L0_rigid_capri_ss.tsv
114.969,0.745,1283.77,-20.931,0.535,0.379,183,7b0b_H0-L0_rigid_capri_ss.tsv
141.514,2.819,1615.92,-21.152,0.163,0.069,184,7b0b_H0-L0_rigid_capri_ss.tsv
73.729,-0.59,1334.41,-11.86,0.14,0.06,185,7b0b_H0-L0_rigid_capri_ss.tsv
88.073,-0.45,1305.91,-10.008,0.163,0.068,186,7b0b_H0-L0_rigid_capri_ss.tsv
458.587,0.518,1686.68,-12.411,0.047,0.028,187,7b0b_H0-L0_rigid_capri_ss.tsv
140.913,-1.311,1266.59,-19.201,0.372,0.338,188,7b0b_H0-L0_rigid_capri_ss.tsv
125.214,-4.471,1186.55,-9.678,0.163,0.075,189,7b0b_H0-L0_rigid_capri_ss.tsv
97.408,-1.97,1064.32,-12.454,0.163,0.084,190,7b0b_H0-L0_rigid_capri_ss.tsv
121.373,-1.741,1090.14,-13.429,0.163,0.083,191,7b0b_H0-L0_rigid_capri_ss.tsv
125.555,0.298,1272.84,-20.815,0.512,0.383,192,7b0b_H0-L0_rigid_capri_ss.tsv
156.837,0.236,1160.55,-14.299,0.14,0.07,193,7b0b_H0-L0_rigid_capri_ss.tsv
168.452,-1.574,1144.34,-11.647,0.163,0.083,194,7b0b_H0-L0_rigid_capri_ss.tsv
160.75,-1.66,1095.76,-12.441,0.163,0.084,195,7b0b_H0-L0_rigid_capri_ss.tsv
139.899,-1.59,1078.13,-13.888,0.163,0.084,196,7b0b_H0-L0_rigid_capri_ss.tsv
51.621,-4.666,1740.35,-21.884,0.302,0.306,1,7bbg_H0-L0_rigid_capri_ss.tsv
87.787,-4.071,1235.23,-39.275,0.075,0.056,2,7bbg_H0-L0_rigid_capri_ss.tsv
77.567,-0.804,1763.14,-30.789,0.208,0.18,3,7bbg_H0-L0_rigid_capri_ss.tsv
58.469,-2.399,1358.33,-33.89,0.226,0.167,4,7bbg_H0-L0_rigid_capri_ss.tsv
78.356,-1.619,1919.73,-13.454,0.057,0.049,5,7bbg_H0-L0_rigid_capri_ss.tsv
59.439,0.265,1144.46,-33.236,0.019,0.036,6,7bbg_H0-L0_rigid_capri_ss.tsv
69.131,-0.669,1517.97,-29.849,0.113,0.069,7,7bbg_H0-L0_rigid_capri_ss.tsv
79.403,-3.366,1579.68,-20.536,0.113,0.097,8,7bbg_H0-L0_rigid_capri_ss.tsv
80.465,-2.603,1385.4,-34.214,0.226,0.165,9,7bbg_H0-L0_rigid_capri_ss.tsv
72.041,-5.764,1493.66,-31.628,0.189,0.28,10,7bbg_H0-L0_rigid_capri_ss.tsv
74.218,-1.147,1322.77,-37.088,0.189,0.168,11,7bbg_H0-L0_rigid_capri_ss.tsv
133.199,-5.119,1495.59,-28.508,0.283,0.415,12,7bbg_H0-L0_rigid_capri_ss.tsv
90.515,-1.265,1578.35,-15.97,0.057,0.042,13,7bbg_H0-L0_rigid_capri_ss.tsv
96.72,3.059,1681.72,-27.075,0.057,0.04,14,7bbg_H0-L0_rigid_capri_ss.tsv
123.906,-0.175,1691.05,-40.817,0.208,0.225,15,7bbg_H0-L0_rigid_capri_ss.tsv
90.624,-4.493,1803.36,-21.669,0.321,0.268,16,7bbg_H0-L0_rigid_capri_ss.tsv
50.016,-2.388,1520.95,-22.929,0.038,0.029,17,7bbg_H0-L0_rigid_capri_ss.tsv
67.584,-2.346,1524.07,-22.951,0.038,0.029,18,7bbg_H0-L0_rigid_capri_ss.tsv
53.534,0.846,1362.92,-34.531,0.057,0.04,19,7bbg_H0-L0_rigid_capri_ss.tsv
124.233,-0.293,1722.86,-41.938,0.208,0.225,20,7bbg_H0-L0_rigid_capri_ss.tsv
126.293,-4.079,1488.32,-33.237,0.0,0.156,21,7bbg_H0-L0_rigid_capri_ss.tsv
83.686,-0.942,1578.43,-33.14,0.132,0.219,22,7bbg_H0-L0_rigid_capri_ss.tsv
109.199,3.334,1645.01,-24.019,0.0,0.027,23,7bbg_H0-L0_rigid_capri_ss.tsv
69.948,-3.087,1508.01,-28.069,0.057,0.039,24,7bbg_H0-L0_rigid_capri_ss.tsv
137.257,-0.284,1751.22,-43.489,0.208,0.224,25,7bbg_H0-L0_rigid_capri_ss.tsv
74.005,-4.226,1724.67,-22.37,0.302,0.317,26,7bbg_H0-L0_rigid_capri_ss.tsv
85.381,-4.754,1364.82,-29.087,0.038,0.034,27,7bbg_H0-L0_rigid_capri_ss.tsv
94.963,2.88,1649.49,-27.143,0.057,0.041,28,7bbg_H0-L0_rigid_capri_ss.tsv
88.293,-1.925,1568.09,-21.139,0.057,0.076,29,7bbg_H0-L0_rigid_capri_ss.tsv
111.473,-5.737,1430.19,-35.578,0.17,0.35,30,7bbg_H0-L0_rigid_capri_ss.tsv
106.4,-0.874,1785.17,-30.646,0.208,0.182,31,7bbg_H0-L0_rigid_capri_ss.tsv
92.846,-4.116,1420.88,-34.026,0.132,0.219,32,7bbg_H0-L0_rigid_capri_ss.tsv
94.222,2.835,1682.17,-25.608,0.057,0.04,33,7bbg_H0-L0_rigid_capri_ss.tsv
94.067,2.955,1655.53,-27.499,0.057,0.04,34,7bbg_H0-L0_rigid_capri_ss.tsv
123.411,-4.72,1534.34,-38.106,0.226,0.345,35,7bbg_H0-L0_rigid_capri_ss.tsv
80.62,4.678,1748.16,-27.167,0.057,0.042,36,7bbg_H0-L0_rigid_capri_ss.tsv
76.063,-4.749,1740.89,-21.289,0.321,0.318,37,7bbg_H0-L0_rigid_capri_ss.tsv
66.499,-2.56,1396.87,-30.913,0.226,0.161,38,7bbg_H0-L0_rigid_capri_ss.tsv
79.798,-4.411,1478.81,-21.817,0.245,0.329,39,7bbg_H0-L0_rigid_capri_ss.tsv
116.592,-0.855,1827.61,-32.31,0.208,0.181,40,7bbg_H0-L0_rigid_capri_ss.tsv
66.29,-7.251,1383.98,-19.677,0.075,0.153,41,7bbg_H0-L0_rigid_capri_ss.tsv
198.004,-2.328,1749.88,-32.862,0.019,0.069,42,7bbg_H0-L0_rigid_capri_ss.tsv
80.645,-3.455,1382.65,-28.572,0.038,0.034,43,7bbg_H0-L0_rigid_capri_ss.tsv
99.717,2.933,1693.45,-26.7,0.057,0.04,44,7bbg_H0-L0_rigid_capri_ss.tsv
73.14,-3.895,1447.14,-23.984,0.226,0.322,45,7bbg_H0-L0_rigid_capri_ss.tsv
93.732,0.735,1415.42,-17.437,0.132,0.176,46,7bbg_H0-L0_rigid_capri_ss.tsv
117.435,3.021,1668.31,-27.918,0.057,0.04,47,7bbg_H0-L0_rigid_capri_ss.tsv
46.886,-5.368,1572.13,-8.376,0.075,0.068,48,7bbg_H0-L0_rigid_capri_ss.tsv
147.69,-0.773,1338.16,-17.991,0.0,0.025,49,7bbg_H0-L0_rigid_capri_ss.tsv
121.707,-3.595,1577.28,-25.46,0.075,0.042,50,7bbg_H0-L0_rigid_capri_ss.tsv
120.647,3.234,1690.67,-26.349,0.057,0.04,51,7bbg_H0-L0_rigid_capri_ss.tsv
79.53,-2.851,1498.64,-17.472,0.094,0.058,52,7bbg_H0-L0_rigid_capri_ss.tsv
62.252,-5.879,2027.88,-2.501,0.113,0.054,53,7bbg_H0-L0_rigid_capri_ss.tsv
100.205,-3.89,1351.88,-26.661,0.094,0.145,54,7bbg_H0-L0_rigid_capri_ss.tsv
111.647,-5.874,1384.38,-28.167,0.094,0.074,55,7bbg_H0-L0_rigid_capri_ss.tsv
125.589,3.189,1700.33,-26.02,0.057,0.04,56,7bbg_H0-L0_rigid_capri_ss.tsv
93.225,-2.848,1591.7,-18.777,0.132,0.106,57,7bbg_H0-L0_rigid_capri_ss.tsv
93.981,-5.227,1732.51,-12.88,0.094,0.057,58,7bbg_H0-L0_rigid_capri_ss.tsv
100.727,-2.372,1474.46,-31.101,0.17,0.259,59,7bbg_H0-L0_rigid_capri_ss.tsv
91.556,-4.428,1753.86,-21.076,0.321,0.32,60,7bbg_H0-L0_rigid_capri_ss.tsv
117.764,-0.906,1814.66,-24.751,0.0,0.031,61,7bbg_H0-L0_rigid_capri_ss.tsv
113.243,-3.661,1614.27,-22.256,0.113,0.097,62,7bbg_H0-L0_rigid_capri_ss.tsv
111.782,-0.139,1759.97,-32.946,0.0,0.033,63,7bbg_H0-L0_rigid_capri_ss.tsv
